Voltage_V,Force_N
0,0.111651957923499
500,0.111727197447421
1000,0.111920997575897
1500,0.112275730173398
2000,0.112803472632863
2500,0.113505112434881
3000,0.11450237371428
3500,0.115934700426193
3600,0.116302751519895
3700,0.116713300561214
3800,0.117112662176912
3900,0.117622889685225
4000,0.119063499400285
4100,0.119983774881405
4200,0.12478511409934
4300,0.129141187596624
4400,0.133998922784139
4500,0.13873083441126
4750,0.150588149250441
5000,0.162639108048122
5250,0.175733801854327
5500,0.190071453890819
5750,0.201752580311729
6000,0.21703746370609
6500,0.245553499808343
7000,0.273526158816985
7500,0.304597940513075
8000,0.338479295418539
8500,0.369936997577923
9000,0.408135489154138
